Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2015-01-02,24.26104736328125,24.729270393437197,23.821671579713147,24.718174386973395,212818400
2015-01-05,23.577573776245117,24.110149898969926,23.391173064448488,24.030263395910563,257142000
2015-01-06,23.579790115356445,23.839420368550986,23.218081360876567,23.64192367752137,263188400
2015-01-07,23.910436630249023,24.01029392504949,23.67743401836389,23.788387320592424,160423600
2015-01-08,24.829120635986328,24.88681680580754,24.12123828833396,24.238850167242077,237458000
2015-01-09,24.85576057434082,25.13092430460362,24.456327987658426,25.00221806078228,214798000
2015-01-12,24.2432918548584,24.99333542358363,24.143434579343243,24.986678497617646,198603200
2015-01-13,24.45854949951172,25.03106902223723,24.167852350389513,24.727056323810135,268367600
2015-01-14,24.365337371826172,24.518451724396368,24.07685820916575,24.19668793705489,195826400
2015-01-15,23.704055786132812,24.423032478972715,23.668551621221116,24.40971862875739,240056000
2015-01-16,23.519874572753906,23.87270686480466,23.34456819649144,23.750657586073636,314053200
2015-01-20,24.125686645507812,24.18116329739943,23.63305370582818,23.93040774732097,199599600
2015-01-21,24.30986785888672,24.644945594224467,24.025825998667738,24.176722549122562,194303600
2015-01-22,24.942304611206055,24.957838007000497,24.347594797483953,24.467424576332416,215185600
2015-01-23,25.07101058959961,25.24187794150865,24.749244975856005,24.920114020778197,185859200
2015-01-26,25.09762954711914,25.377232263921357,25.03105860036508,25.239649598476205,222460000
2015-01-27,24.218889236450195,24.960058254091365,24.19447937193723,24.94674270516679,382274800
2015-01-28,25.588050842285156,26.211609572141104,25.588050842285156,26.102874113485754,585908400
2015-01-29,26.38469123840332,26.449044346198512,25.643522421911083,25.812171887408386,337745600
2015-01-30,25.998573303222656,26.62878711906101,25.92978111858312,26.27373696274273,334982000
2015-02-02,26.324785232543945,26.444615026489462,25.758924291872386,26.19608066246621,250956400
2015-02-03,26.3292179107666,26.42685566159745,26.098434848144024,26.295931582818667,207662800
2015-02-04,26.53115463256836,26.741966934890257,26.253771360839387,26.295934159906395,280598800
2015-02-05,26.72051239013672,26.78511946783196,26.566792043217205,26.738333684226184,168984800
2015-02-06,26.495506286621094,26.789578935429713,26.38857000537499,26.73833824448596,174826400
2015-02-09,26.671506881713867,26.698239679585615,26.384117406729843,26.410851904296266,155559200
2015-02-10,27.183900833129883,27.212863625618194,26.769527237525242,26.7717538371825,248034000
2015-02-11,27.821062088012695,27.829973586883128,27.290840652931514,27.350991145688674,294247200
2015-02-12,28.173057556152344,28.400296519331267,27.974781388106848,28.08394427058599,297898000
2015-02-13,28.311182022094727,28.355737813123717,27.99260318712347,28.355737813123717,217088800
2015-02-17,28.478267669677734,28.712189812630196,28.27553491915968,28.402520788269594,252609600
2015-02-18,28.676549911499023,28.689916311182564,28.393615320435757,28.43371621918115,179566800
2015-02-19,28.616395950317383,28.74561013827924,28.58966315259746,28.623079149747365,149449600
2015-02-20,28.850311279296875,28.850311279296875,28.527277585777046,28.654261744189217,195793600
2015-02-23,29.63005256652832,29.63005256652832,28.88596033296658,28.966162114986876,283896400
2015-02-24,29.445148468017578,29.763729057615855,29.222366075069523,29.61669186241665,276912400
2015-02-25,28.692140579223633,29.318161908432362,28.54955999520564,29.309248709774774,298846800
2015-02-26,29.05527114868164,29.155522517573083,28.206471013004936,28.69213486200234,365150000
2015-02-27,28.618629455566406,29.08870046959938,28.56961705414953,28.961712866094807,248059200
2015-03-02,28.758970260620117,29.024081778114386,28.58297371505887,28.794616249393325,192386800
2015-03-03,28.819124221801758,28.854770212776685,28.53618969244507,28.73001264375324,151265200
2015-03-04,28.63644027709961,28.863679214055935,28.587431290097957,28.76120124206788,126665200
2015-03-05,28.16191864013672,28.683228541068605,28.01710976775747,28.645355948203196,226068400
2015-03-06,28.204240798950195,28.821347064945126,28.128495627542563,28.60524794698519,291368400
