Date,Forecast
2024-12-31,231.38292702020155
2025-01-01,231.16462578380646
2025-01-02,230.95368863580603
2025-01-03,230.78731431909614
2025-01-04,229.96159505967088
2025-01-05,229.82280304736253
2025-01-06,230.52828462903256
2025-01-07,230.34699381861208
2025-01-08,230.23208117482702
2025-01-09,230.14359393481973
2025-01-10,230.1169878026243
2025-01-11,229.44635398244802
2025-01-12,229.47573892498443
2025-01-13,230.36007512309936
2025-01-14,230.36575381797041
2025-01-15,230.44325489812243
2025-01-16,230.54988910403046
2025-01-17,230.71835217147972
2025-01-18,230.2399937635767
2025-01-19,230.4561779596696
2025-01-20,231.51925299032075
2025-01-21,231.6931604953853
2025-01-22,231.92609907533387
2025-01-23,232.173296813894
2025-01-24,232.46559205197673
2025-01-25,232.09272499260504
2025-01-26,232.39471671716143
2025-01-27,233.5228531939124
2025-01-28,233.74030452297376
2025-01-29,233.99479422460823
