,MAE,RMSE,MAPE
ARIMA,10.55654042561849,13.431675465553441,4.49487376976347
SARIMA,10.55654042561849,13.431675465553441,4.49487376976347
Prophet,12.700689530333811,14.73444036638879,5.122083830568449
LSTM,11.650772761230467,14.63181901709667,4.959444833651208
