Date,Forecast
2024-12-31,251.5930938720703
2025-01-01,251.5930938720703
2025-01-02,251.5930938720703
2025-01-03,251.5930938720703
2025-01-06,251.5930938720703
2025-01-07,251.5930938720703
2025-01-08,251.5930938720703
2025-01-09,251.5930938720703
2025-01-10,251.5930938720703
2025-01-13,251.5930938720703
2025-01-14,251.5930938720703
2025-01-15,251.5930938720703
2025-01-16,251.5930938720703
2025-01-17,251.5930938720703
2025-01-20,251.5930938720703
2025-01-21,251.5930938720703
2025-01-22,251.5930938720703
2025-01-23,251.5930938720703
2025-01-24,251.5930938720703
2025-01-27,251.5930938720703
2025-01-28,251.5930938720703
2025-01-29,251.5930938720703
2025-01-30,251.5930938720703
2025-01-31,251.5930938720703
2025-02-03,251.5930938720703
2025-02-04,251.5930938720703
2025-02-05,251.5930938720703
2025-02-06,251.5930938720703
2025-02-07,251.5930938720703
2025-02-10,251.5930938720703
