Date,ARIMA,SARIMA,Prophet,LSTM
2015-01-02,,,30.053846912848627,
2015-01-05,,,29.33879899749426,
2015-01-06,,,28.997182487204736,
2015-01-07,,,28.71845023785587,
2015-01-08,,,28.46313053178743,
2015-01-09,,,28.26720362738568,
2015-01-12,,,27.993113368056918,
2015-01-13,,,27.825324626419523,
2015-01-14,,,27.729832505642708,
2015-01-15,,,27.66454335517737,
2015-01-16,,,27.66272855563469,
2015-01-20,,,27.983253800224613,
2015-01-21,,,28.061541932977597,
2015-01-22,,,28.158359352944725,
2015-01-23,,,28.30479190174558,
2015-01-26,,,28.95308314151991,
2015-01-27,,,29.04392816826354,
2015-01-28,,,29.176596935005232,
2015-01-29,,,29.30600257444236,
2015-01-30,,,29.462904926620133,
2015-02-02,,,30.01106530359678,
2015-02-03,,,30.02650616926944,
2015-02-04,,,30.06434191835512,
2015-02-05,,,30.080808976836348,
2015-02-06,,,30.108212017707512,
2015-02-09,,,30.1868023210043,
2015-02-10,,,30.025565271590075,
2015-02-11,,,29.880372411178804,
2015-02-12,,,29.7098120168277,
2015-02-13,,,29.548577306926173,
2015-02-17,,,28.74269630809847,
2015-02-18,,,28.43588931340452,
2015-02-19,,,28.11558794117459,
2015-02-20,,,27.818334858693287,
2015-02-23,,,27.035122244964228,
2015-02-24,,,26.63586772128719,
2015-02-25,,,26.282406660136832,
2015-02-26,,,25.9358348758764,
2015-02-27,,,25.632927911027235,
2015-03-02,,,24.95469720874944,
2015-03-03,,,24.62915163964232,
2015-03-04,,,24.367141244678063,
2015-03-05,,,24.12842812253821,
2015-03-06,,,23.948235188951333,
2015-03-09,,,23.70895147161113,
2015-03-10,,,23.546470689560834,
2015-03-11,,,23.45220943620081,
2015-03-12,,,23.383627944445333,
2015-03-13,,,23.373638615094585,
2015-03-16,,,23.622929508440198,
2015-03-17,,,23.60893580889202,
2015-03-18,,,23.652814450253853,
2015-03-19,,,23.710404945902305,
2015-03-20,,,23.813221197053508,
2015-03-23,,,24.310512270086846,
2015-03-24,,,24.346997014356056,
2015-03-25,,,24.42494020138758,
2015-03-26,,,24.50041337202516,
2015-03-27,,,24.605435411350665,
2015-03-30,,,25.024096112547408,
2015-03-31,,,25.009991636910648,
2015-04-01,,,25.027626176152577,
2015-04-02,,,25.034755865096347,
2015-04-06,,,25.24055872681905,
2015-04-07,,,25.144818810878416,
2015-04-08,,,25.08332660702756,
2015-04-09,,,25.015323824899,
2015-04-10,,,24.975920316095205,
2015-04-13,,,24.984049167233355,
2015-04-14,,,24.84896158986702,
2015-04-15,,,24.75692362885795,
2015-04-16,,,24.667190784645065,
2015-04-17,,,24.614665743437502,
2015-04-20,,,24.630021466954663,
2015-04-21,,,24.51034246501982,
2015-04-22,,,24.438618910198866,
2015-04-23,,,24.373016934615105,
2015-04-24,,,24.34730728309346,
2015-04-27,,,24.44796253217777,
2015-04-28,,,24.35483008857574,
2015-04-29,,,24.307183458259395,
2015-04-30,,,24.26246114577958,
2015-05-01,,,24.25385933471624,
2015-05-04,,,24.38000446607705,
2015-05-05,,,24.28657104277175,
2015-05-06,,,24.234563996492824,
2015-05-07,,,24.18186575667152,
2015-05-08,,,24.16225493217221,
2015-05-11,,,24.244612556534708,
2015-05-12,,,24.135832217633595,
2015-05-13,,,24.069599379557943,
2015-05-14,,,24.004680051034796,
2015-05-15,,,23.975686457084795,
2015-05-18,,,24.053969525127165,
2015-05-19,,,23.953619972228157,
2015-05-20,,,23.90124444349712,
2015-05-21,,,23.855695686301733,
2015-05-22,,,23.851511980834328,
2015-05-26,,,23.976271446377368,
2015-05-27,,,23.96964065192593,
2015-05-28,,,23.971951702462587,
2015-05-29,,,24.01688151137853,
2015-06-01,,,24.34530521452537,
2015-06-02,,,24.333331814972485,
2015-06-03,,,24.369490400771337,
2015-06-04,,,24.411262332264,
2015-06-05,,,24.491901277293994,
2015-06-08,,,24.90301132495132,
2015-06-09,,,24.910622593531087,
2015-06-10,,,24.962865920305383,
2015-06-11,,,25.017741291973348,
2015-06-12,,,25.1091498550161,
2015-06-15,,,25.54648682173052,
2015-06-16,,,25.563738282457454,
2015-06-17,,,25.62756461785842,
2015-06-18,,,25.696810095625324,
2015-06-19,,,25.80613797958597,
2015-06-22,,,26.32425871364869,
2015-06-23,,,26.37853677917719,
2015-06-24,,,26.48449948519671,
2015-06-25,,,26.600706927397336,
2015-06-26,,,26.76131635018253,
2015-06-29,,,27.45092412349664,
2015-06-30,,,27.56451713775933,
2015-07-01,,,27.72860363181753,
2015-07-02,,,27.900206861638587,
2015-07-06,,,28.91266005229357,
2015-07-07,,,29.0442573541346,
2015-07-08,,,29.21461833371636,
2015-07-09,,,29.37972752752261,
2015-07-10,,,29.571347251597235,
2015-07-13,,,30.226979186891107,
2015-07-14,,,30.282269193626068,
2015-07-15,,,30.36340200432664,
2015-07-16,,,30.427493330501136,
2015-07-17,,,30.507757909565413,
2015-07-20,,,30.78609258783002,
2015-07-21,,,30.70863278746173,
2015-07-22,,,30.65765488586262,
2015-07-23,,,30.592889527639823,
2015-07-24,,,30.550173025032784,
2015-07-27,,,30.519802544078285,
2015-07-28,,,30.36699953417976,
2015-07-29,,,30.25756566643813,
2015-07-30,,,30.15260614106493,
2015-07-31,,,30.088942943052256,
2015-08-03,,,30.11460528089208,
2015-08-04,,,30.018958140974195,
2015-08-05,,,29.984198828456396,
2015-08-06,,,29.969736843137504,
2015-08-07,,,30.010293244138964,
2015-08-10,,,30.404769994951398,
2015-08-11,,,30.44071676469769,
2015-08-12,,,30.53640535370915,
